study_hours,previous_score,attendance,assignment_score,practice_tests,online_participation,sleep_hours,exam_result
6.5,78,92,81,7,83,7.5,1
3.5,62,70,65,4,68,6.2,0
8.2,90,96,88,9,91,8.1,1
2.8,55,58,52,2,57,5.6,0
7.1,84,90,79,8,86,7.8,1
4.9,67,72,70,5,71,6.8,0
9.4,94,98,95,10,94,8.4,1
1.7,48,55,49,1,52,5.1,0
5.8,76,88,82,6,80,7.2,1
3.9,60,65,63,4,64,6.3,0
7.9,91,94,90,9,88,8.0,1
2.4,51,61,54,2,59,5.7,0
8.7,92,97,91,10,93,8.2,1
4.1,58,62,60,3,63,6.0,0
6.2,74,85,77,6,78,7.1,1
5.4,69,74,71,5,70,6.9,0
9.1,96,99,97,11,95,8.5,1
2.1,45,50,47,1,49,4.9,0
7.4,87,91,86,8,89,7.9,1
3.6,59,66,61,3,62,6.1,0
8.8,93,96,92,10,92,8.3,1
4.7,64,68,66,4,69,6.5,0
6.9,81,89,84,7,82,7.7,1
5.1,66,71,68,5,72,6.7,0
9.5,97,100,98,12,96,8.6,1
2.9,53,60,56,2,58,5.5,0
7.8,88,93,89,9,90,8.0,1
4.3,61,67,64,4,65,6.4,0
6.0,73,80,75,6,77,7.0,1
3.2,57,63,59,3,61,6.0,0
